LP,YEAR,MONTH,ATTENDANCE_RATE
LP_0001,2021,1,0.8111490322187227
LP_0001,2021,2,0.572788881339072
LP_0001,2021,3,0.9792567322089838
LP_0001,2021,4,0.897159723773481
LP_0001,2021,5,0.897639578550741
LP_0001,2021,6,0.7969406152077909
LP_0001,2021,7,0.9608253560246085
LP_0001,2021,8,0.74638061034292
LP_0001,2021,9,0.5926651042861306
LP_0001,2021,10,0.6589488270632471
LP_0001,2021,11,0.9186736331770875
LP_0001,2021,12,0.8241155354807506
LP_0001,2022,1,0.665111114346935
LP_0001,2022,2,0.8203530734776662
LP_0001,2022,3,0.7117063888192758
LP_0001,2022,4,0.8426741467933165
LP_0001,2022,5,0.9562045434146313
LP_0001,2022,6,0.9816675082023795
LP_0001,2022,7,0.8228194088030576
LP_0001,2022,8,0.5996511165272487
LP_0001,2022,9,0.8447046567221158
LP_0001,2022,10,0.7740831882160278
LP_0001,2022,11,0.839455545110171
LP_0001,2022,12,0.9659653069138197
LP_0001,2023,1,0.8677859122410402
LP_0001,2023,2,0.5694941065990193
LP_0001,2023,3,0.9411327269506828
LP_0001,2023,4,0.9091605636098311
LP_0001,2023,5,0.8744265814946559
LP_0001,2023,6,0.7209427695511694
LP_0001,2023,7,0.5763727070979894
LP_0001,2023,8,0.6981187250428227
LP_0001,2023,9,0.5054238630145327
LP_0001,2023,10,0.6336697390621917
LP_0001,2023,11,0.9236176257797664
LP_0001,2023,12,0.9407744181932827
LP_0002,2021,1,0.6394218494546127
LP_0002,2021,2,0.6299494718090473
LP_0002,2021,3,0.6129073338300637
LP_0002,2021,4,0.9436166200512413
LP_0002,2021,5,0.880595437600296
LP_0002,2021,6,0.7039671580923805
LP_0002,2021,7,0.987005598942541
LP_0002,2021,8,0.9884296484453163
LP_0002,2021,9,0.9151812422184484
LP_0002,2021,10,0.797523231450519
LP_0002,2021,11,0.5331675643821265
LP_0002,2021,12,0.9168952730064324
LP_0002,2022,1,0.7735442694554822
LP_0002,2022,2,0.5893542094220658
LP_0002,2022,3,0.9751913303969738
LP_0002,2022,4,0.8203423045417516
LP_0002,2022,5,0.5940390036619752
LP_0002,2022,6,0.74979447068682
LP_0002,2022,7,0.6544209281420426
LP_0002,2022,8,0.9019255181923951
LP_0002,2022,9,0.5415929339258357
LP_0002,2022,10,0.9328488825065395
LP_0002,2022,11,0.9751174136353845
LP_0002,2022,12,0.5132919558074366
LP_0002,2023,1,0.636520969349347
LP_0002,2023,2,0.5736928511415711
LP_0002,2023,3,0.9795577861315006
