LP,YEAR,AWARD_TYPE,RANK
LP_0252,2015,銀賞,1
LP_0252,2022,銅賞,13
LP_0252,2019,銀賞,8
LP_0029,2024,銀賞,92
LP_0029,2022,金賞,75
LP_0980,2016,金賞,70
LP_0980,2015,銀賞,78
LP_0980,2020,銅賞,80
LP_0140,2024,銀賞,63
LP_0140,2024,銀賞,96
LP_0400,2018,銅賞,69
LP_0400,2020,銅賞,23
LP_0400,2021,金賞,28
LP_0347,2016,銅賞,23
LP_0372,2024,金賞,76
LP_0505,2024,金賞,91
LP_0505,2023,銅賞,63
LP_0795,2022,銅賞,51
LP_0041,2018,金賞,26
LP_0117,2016,銀賞,10
LP_0117,2018,銅賞,86
LP_0117,2023,銅賞,36
LP_0393,2022,金賞,58
LP_0042,2024,金賞,74
LP_0042,2021,銅賞,56
LP_0144,2023,金賞,45
LP_0144,2021,銀賞,32
LP_0212,2015,銅賞,45
LP_0594,2021,銅賞,50
LP_0267,2023,銀賞,89
LP_0267,2020,銀賞,30
LP_0290,2017,金賞,94
LP_0791,2023,金賞,17
LP_0581,2019,金賞,23
LP_0581,2020,銅賞,30
LP_0231,2018,銅賞,11
LP_0231,2017,金賞,46
LP_0382,2020,銀賞,15
LP_0158,2018,銀賞,32
LP_0158,2023,金賞,50
LP_0158,2024,銅賞,42
LP_0276,2015,金賞,7
LP_0276,2024,銀賞,29
LP_0276,2023,銀賞,21
LP_0740,2023,銀賞,74
LP_0719,2024,金賞,79
LP_0030,2019,銀賞,41
LP_0070,2024,金賞,74
LP_0768,2020,銅賞,85
LP_0768,2018,金賞,45
LP_0154,2019,銀賞,65
LP_0154,2020,銅賞,9
LP_0154,2021,金賞,24
LP_0209,2024,銀賞,44
LP_0209,2015,銅賞,21
LP_0088,2016,金賞,4
LP_0088,2015,銀賞,22
LP_0088,2019,金賞,8
LP_0247,2021,銅賞,59
LP_0258,2023,銅賞,73
LP_0258,2019,金賞,12
LP_0665,2023,銀賞,10
LP_0665,2024,銀賞,54
LP_0665,2018,金賞,83
LP_0061,2018,金賞,90
LP_0061,2015,銀賞,21
LP_0043,2019,銅賞,24
LP_0043,2024,金賞,70
LP_0736,2024,銅賞,67
LP_0955,2019,銅賞,39
LP_0955,2017,銅賞,23
LP_0435,2021,銅賞,84
LP_0435,2023,銀賞,27
LP_0817,2024,銀賞,26
LP_0242,2022,銅賞,77
LP_0242,2021,銀賞,75
LP_0812,2024,金賞,76
LP_0812,2018,銀賞,10
LP_0812,2017,銅賞,49
LP_0246,2020,金賞,78
LP_0246,2024,金賞,68
LP_0426,2015,銀賞,52
LP_0052,2022,銅賞,33
LP_0052,2020,金賞,88
LP_0052,2020,銀賞,7
LP_0995,2024,銅賞,47
LP_0760,2022,銅賞,81
LP_0760,2015,銀賞,33
LP_0760,2018,銀賞,83
LP_0860,2018,金賞,76
LP_0718,2018,銅賞,32
